City Name,Temperatue,Humidity,Cloudiness,Wind Speed,Latitude
Anking,40.78,90,100,10.98,30.51
Hilo,67.14,65,90,3.36,19.73
Spresiano,42.66,100,75,1.54,45.78
Carnarvon,86.0,62,6,19.46,-24.87
Fortuna,56.3,87,90,11.41,40.6
Ixtapa,71.33,94,90,4.7,20.7
Yining,43.88,91,100,2.01,29.04
Faanui,82.58,75,82,11.36,-16.48
Bhadrachalam,89.94,39,10,0.98,17.67
Blagoyevo,-6.02,98,97,1.72,63.37
Azovskaya,43.43,75,75,13.42,44.79
High Prairie,23.54,85,0,4.12,55.43
Santa Cruz de la Sierra,75.2,83,40,5.82,-17.8
Normandin,17.6,72,90,2.24,48.83
Opuwo,70.54,36,4,2.21,-18.06
Maltana,89.6,59,20,6.93,6.42
Taoudenni,66.6,27,32,4.47,22.68
Kavieng,84.49,74,55,15.28,-2.57
Limulunga,70.11,86,83,5.1,-15.1
Verkhoyansk,-45.2,98,14,1.61,67.54
Mugur-Aksy,9.79,80,20,8.84,50.35
Huarmey,73.81,71,100,0.76,-10.07
Saint George,42.82,57,1,5.82,37.1
Torbay,18.72,85,5,13.87,47.67
Bowen,82.63,83,40,5.82,-20.02
Rexburg,32.32,96,90,4.7,43.83
Dudinka,5.0,77,75,11.18,69.41
Rio Gallegos,48.2,57,0,18.34,-51.62
Barra do Garcas,70.39,98,64,1.45,-15.89
Formosa do Rio Preto,69.71,98,99,2.57,-11.05
Lompoc,53.22,93,75,10.92,34.64
Makakilo City,75.2,61,20,4.7,21.35
Margate,45.5,93,75,10.29,51.38
Luderitz,66.2,82,0,14.99,-26.65
Guerrero Negro,60.73,80,0,4.47,27.98
Isangel,78.08,84,48,15.75,-19.55
Launceston,72.19,37,40,17.22,-41.45
Tuktoyaktuk,-14.8,75,90,20.8,69.45
Cabo San Lucas,64.76,82,40,8.05,22.89
Afsin,21.58,56,0,1.28,38.25
Rio Grande,68.0,95,42,5.06,-32.03
Ponta do Sol,54.88,71,40,3.36,32.67
Hermanus,60.22,82,41,11.01,-34.42
Bluff,69.01,58,79,11.01,-46.6
Shingu,50.0,93,75,8.05,33.73
Hofn,40.62,91,76,15.55,64.25
OErnskoeldsvik,28.71,96,100,6.93,63.29
Ulaanbaatar,5.0,60,0,2.24,47.91
Cape Town,60.93,67,40,9.17,-33.93
Upernavik,-16.62,95,93,7.29,72.79
Severo-Kuril'sk,18.32,91,100,39.88,50.68
Ostrovnoy,4.8,98,100,9.48,68.05
Urucara,74.12,96,100,0.49,-2.54
Saskylakh,-20.65,93,98,15.55,71.92
Avarua,82.4,83,100,11.41,-21.21
Cherskiy,-15.9,96,100,3.58,68.75
Kholmsk,12.2,85,75,17.07,47.05
Saldanha,60.8,87,59,2.24,-33.01
Joshimath,42.01,35,0,2.48,30.57
Ust-Tsilma,-15.5,98,96,2.75,65.44
Fershampenuaz,24.55,91,100,15.21,53.52
Conde,80.6,83,20,5.82,-7.26
Saint Anthony,26.91,86,90,8.05,45.02
Aksu,29.07,57,100,0.51,41.12
Korla,21.22,47,16,3.69,41.76
Kavarna,30.2,80,5,5.82,43.43
Airai,79.2,75,58,3.24,-8.93
Khatanga,-21.73,98,57,3.04,71.97
Kriel,62.49,99,1,3.0,-26.27
Tottori,51.04,57,75,12.75,35.5
Linxia,27.57,41,0,5.99,35.6
Westport,40.5,87,40,6.93,41.14
Nizhniy Kuranakh,2.14,95,92,1.41,58.84
Kattivakkam,81.45,65,0,3.36,13.22
Great Falls,29.5,79,1,4.7,47.5
Tiksi,-29.25,67,0,4.21,71.69
Beringovskiy,15.48,85,100,8.14,63.05
Baryshivka,34.9,80,90,6.71,50.36
Alofi,82.4,83,12,10.29,-19.06
Roebourne,107.67,15,1,4.59,-20.78
Naze,68.0,94,75,16.11,28.37
Kuvandyk,26.67,96,100,18.07,51.48
Collie,93.51,19,99,2.42,-33.37
Cockburn Town,75.87,76,0,14.09,21.46
Yeppoon,89.6,49,40,11.41,-23.13
Castro,58.73,97,0,1.63,-24.79
Aklavik,-14.8,68,90,9.17,68.22
Salalah,77.0,78,40,1.12,17.02
Jiangyou,34.79,80,100,4.85,31.77
Melo,66.58,96,13,4.29,-32.37
Serenje,68.27,92,21,3.87,-13.23
Posse,68.83,97,100,3.89,-14.09
Pisco,72.19,83,90,16.11,-13.7
Cayenne,75.2,100,97,2.24,4.93
Sal,36.79,93,40,3.36,32.57
Port Hardy,46.4,81,90,21.92,50.7
Zhigansk,-30.42,87,82,12.86,66.77
Dunedin,62.01,80,50,15.01,-45.87
Saint-Philippe,78.28,78,75,6.93,-21.36
Vila Franca do Campo,57.2,82,40,2.24,37.72
Seoul,49.91,45,1,3.36,37.57
Bethel,39.47,100,90,4.7,41.37
Rongcheng,39.67,97,100,4.79,30.63
Danjiangkou,39.63,72,98,2.8,32.54
Vikhorevka,25.38,58,100,6.71,56.12
Leningradskiy,-14.49,95,93,3.38,69.38
Oodweyne,74.03,60,79,19.62,9.41
Russell,39.97,80,1,4.38,32.35
Bengkulu,86.88,62,65,6.4,-3.8
Longyearbyen,-0.4,59,31,1.12,78.22
Altay,20.23,81,100,4.54,47.87
Lagoa,57.9,64,100,8.25,39.05
Pucallpa,80.6,88,75,2.24,-8.38
Agaro,67.68,43,100,0.58,7.85
Talnakh,5.0,77,75,11.18,69.49
Grootfontein,72.32,51,91,5.84,-19.57
Lebu,59.67,92,1,6.4,-37.62
Banda Aceh,88.32,47,73,7.72,5.56
Kavaratti,84.2,74,20,2.91,10.57
Kollam,86.0,62,20,4.7,8.88
Myitkyina,74.91,27,0,2.17,25.38
Broome,32.92,94,90,8.05,42.25
Kaitangata,58.24,86,52,11.54,-46.28
Kampong Thom,92.43,41,68,5.19,12.71
Arraial do Cabo,75.2,83,0,9.17,-22.97
Pochutla,78.8,74,5,7.61,15.74
Elko,34.02,74,1,4.7,41.0
Sohag,42.8,55,0,3.36,26.56
Belaya Gora,-24.83,98,100,1.81,68.53
Ambilobe,76.19,94,100,5.79,-13.2
Sitka,42.3,65,90,18.34,57.05
Dalbandin,56.79,58,0,5.44,28.89
Yangi Marg`ilon,36.81,74,75,4.7,40.43
Hurghada,51.8,53,0,8.05,27.26
Pangai,80.42,85,1,10.27,-19.8
Vardo,23.07,75,100,32.21,70.37
San Quintin,57.74,89,2,2.17,30.48
Tuatapere,69.01,58,99,11.01,-46.13
Olinda,82.4,78,40,3.36,-8.01
Ancud,55.4,100,50,3.36,-41.87
Samarai,83.05,78,82,6.49,-10.62
Katangli,-3.75,86,0,10.94,51.71
Half Moon Bay,57.38,100,90,6.76,37.46
Provideniya,-5.12,72,0,4.07,64.38
Tocopilla,61.95,70,37,2.13,-22.09
Caboolture,85.14,65,75,13.87,-27.08
Hithadhoo,83.01,79,100,12.75,-0.6
Nome,-18.4,75,1,8.72,64.5
Banyo,56.46,21,3,3.33,6.75
Iqaluit,-30.15,66,5,9.17,63.75
Lorengau,85.14,71,61,9.78,-2.02
Orocue,79.41,52,56,6.31,4.79
Chicama,71.6,88,75,8.05,-7.84
Booue,71.56,90,50,1.39,-0.09
Mount Darwin,69.84,84,59,1.99,-16.77
College,-20.61,66,1,4.16,64.86
Maniitsoq,12.56,78,100,9.44,65.42
Harbour Breton,23.99,73,10,3.94,47.48
Port Hedland,109.4,10,0,9.17,-20.32
Los Llanos de Aridane,58.62,59,17,9.17,28.66
Vestmannaeyjar,39.97,75,94,27.02,63.44
Corner Brook,21.9,79,90,13.87,48.97
Galle,79.36,81,98,6.31,6.04
San Patricio,75.97,72,85,4.72,19.22
Hattiesburg,41.22,93,40,2.55,31.33
Puerto Colombia,80.6,78,40,13.87,10.99
Nago,70.41,94,90,14.99,26.59
La Trinidad,79.39,66,99,6.62,16.45
Makat,33.62,97,100,21.9,47.65
Biak,84.02,72,25,6.33,-0.91
Flinders,86.22,46,40,18.34,-34.58
Seymchan,-25.65,95,100,8.12,62.88
Nabire,84.94,77,75,4.38,-3.37
Chara,5.47,84,40,4.18,56.91
Ranong,89.6,55,20,3.36,9.97
Bintulu,87.53,74,75,3.36,3.17
Rimouski,27.5,79,90,9.17,48.45
Jacareacanga,72.21,98,100,0.56,-6.22
Thompson,17.6,92,90,4.7,55.74
Yarada,82.4,61,20,8.05,17.65
Santa Ana,54.68,87,20,5.82,33.75
Geraldton,86.0,48,7,13.87,-28.77
Vanimo,83.61,81,30,18.03,-2.67
Lagos,68.0,82,72,5.1,6.58
Powassan,32.18,92,90,8.05,46.03
Nouadhibou,64.4,63,100,21.92,20.93
Kirensk,23.56,90,100,12.33,57.79
Ribeira Grande,54.16,72,100,3.51,38.52
Mnogovershinnyy,-12.51,88,3,7.43,53.94
Bulgan,19.27,72,66,3.78,48.81
Warren,32.22,89,90,8.05,39.43
Bathsheba,75.2,88,40,6.93,13.22
Acapulco de Juarez,78.8,78,20,3.36,16.86
Ushtobe,27.61,95,100,4.81,45.25
Hambantota,84.2,70,20,18.34,6.12
Sao Joao da Barra,72.3,91,100,5.32,-21.64
Balikpapan,86.0,84,40,3.36,-1.27
Katherine,96.8,39,69,3.36,-14.47
Pevek,-7.35,94,100,0.94,69.7
San Luis,81.81,23,0,16.69,-33.3
Bac Lieu,92.3,38,54,6.8,9.29
Viedma,65.41,43,71,15.3,-40.81
Oranjemund,65.5,75,52,8.1,-28.55
Taltal,65.93,90,19,5.32,-25.4
Nanortalik,22.89,74,83,28.32,60.14
Fes,44.6,87,7,5.82,34.04
Hays,58.32,93,90,4.7,30.05
Fort Morgan,33.08,58,75,4.7,40.25
Klaksvik,44.6,100,100,23.04,62.23
Hare Bay,15.48,85,20,12.75,48.85
Ouallam,66.09,10,65,12.57,14.32
Prince Rupert,44.6,75,90,18.34,54.32
Namatanai,85.96,71,33,11.52,-3.67
Bukavu,64.92,86,100,0.2,-2.51
Alice Springs,98.6,9,13,13.87,-23.7
Lenti,29.64,100,90,4.7,46.62
Gambela,82.24,24,92,3.85,8.25
Owando,68.79,43,62,2.19,-0.48
Anadyr,15.8,78,90,13.42,64.75
Zapolyarnyy,19.4,92,75,25.28,69.42
Kiunga,86.95,62,95,1.43,-6.12
Haines Junction,-14.49,99,100,5.14,60.75
Dolores,57.79,81,0,5.97,-36.31
Salmas,12.2,72,0,6.93,38.2
Kuala Lipis,92.46,44,67,2.93,4.18
Strezhevoy,1.4,84,90,4.47,60.73
Murygino,11.39,95,93,9.01,58.74
Bilibino,-3.3,88,100,4.9,68.05
Port Elizabeth,68.0,77,20,24.16,-33.92
Port Lincoln,71.29,63,16,13.11,-34.73
Abalak,13.24,93,100,7.38,58.13
Norman Wells,-13.0,69,40,10.29,65.28
Vao,77.52,82,85,16.08,-22.67
Plastun,20.61,40,53,5.7,44.76
Iskateley,-10.12,100,100,6.26,67.68
Lata,42.75,93,20,4.7,40.16
Sabha,52.95,24,57,11.61,27.04
Mileb,93.61,49,49,1.59,6.9
Florianopolis,69.55,94,18,5.82,-27.61
Adrar,70.47,23,100,11.56,20.5
Sri Aman,84.13,83,75,1.12,1.24
Terney,20.61,40,53,5.7,45.05
Pacific Grove,55.81,87,90,4.7,36.62
Paamiut,17.19,66,44,25.59,61.99
Batticaloa,82.11,62,100,6.8,7.71
Rawson,67.93,52,0,29.84,-43.3
Tahe,11.3,77,0,2.37,52.33
Omaruru,73.04,29,0,0.36,-21.43
Atocha,45.14,61,63,3.15,-20.93
Natal,79.72,83,40,6.93,-5.79
Aasiaat,4.71,88,99,4.41,68.71
Kargopol,10.38,96,96,4.12,61.51
Codrington,61.09,74,100,15.05,-38.27
Dunmore Town,72.36,72,14,4.45,25.5
Quatre Cocos,81.66,78,40,14.99,-20.21
Manokwari,78.17,84,88,4.83,-0.87
Puerto Escondido,78.8,74,5,3.06,15.85
Rassvet,36.75,80,100,15.19,46.83
Rudbar,56.3,69,36,1.9,30.15
Dikson,-4.9,96,100,3.65,73.51
Staunton,32.65,69,1,8.05,38.15
Salisbury,46.0,100,45,11.41,51.07
Ahipara,82.0,68,97,1.01,-35.17
Nelson Bay,85.87,49,51,17.22,-32.72
Pokrovsk,32.59,85,100,9.71,48.28
Dubti,71.89,60,79,13.42,11.74
Mahina,84.11,74,40,9.17,-17.51
Yulara,98.6,9,0,8.05,-25.24
Saint-Augustin,15.89,83,58,14.61,51.23
Dauphin,19.4,92,90,4.7,51.15
Gunnedah,89.6,49,90,6.93,-30.98
Bonavista,21.0,81,35,11.01,48.65
Kudahuvadhoo,82.08,78,100,15.14,2.67
Guadalupe y Calvo,40.15,92,14,3.8,26.1
Sakakah,46.4,69,75,3.06,29.97
Cairns,81.23,74,90,5.82,-16.92
Newton,45.14,93,90,10.29,42.34
Llanes,43.14,10,8,4.41,43.42
Hasaki,43.29,80,75,5.82,35.73
Huilong,49.77,91,100,15.55,31.81
Potchefstroom,72.66,59,9,18.72,-26.72
Avera,40.98,80,1,5.82,33.19
Ketchikan,46.4,87,90,28.86,55.34
Vila Velha,71.28,100,75,3.36,-20.33
La Romana,75.2,83,75,6.6,18.43
Arrondissement de Bastia,45.41,93,90,5.82,42.67
Homer,1.33,54,1,8.37,59.64
Zorya,31.98,62,35,5.75,45.99
Oktyabrskiy,13.77,96,63,1.83,54.48
Bonthe,73.65,95,23,5.55,7.53
Hong Kong,63.43,77,20,9.17,22.29
Altar,62.01,67,16,3.0,30.7
Port Said,53.6,71,40,4.7,31.26
Orshanka,20.98,92,100,13.22,56.92
Xapuri,73.83,90,100,1.07,-10.65
Grand-Santi,71.1,99,90,2.3,4.25
Pervomayskoye,38.05,52,1,12.62,43.92
Pangoa,69.48,89,63,2.26,-12.12
Middlebury,33.15,99,90,3.42,44.02
Norrtaelje,43.83,81,90,18.34,59.76
Atar,69.84,24,100,9.42,20.52
Zhicheng,39.99,74,64,10.22,30.3
Penzance,49.17,87,80,19.46,50.12
Lebyazhye,20.39,91,100,17.49,55.27
Bama,55.72,25,0,7.74,11.52
Maltahohe,63.46,35,0,4.36,-24.83
Bushenyi,74.14,49,100,1.1,-0.59
Mogok,69.78,22,0,2.82,22.92
Alfred,33.17,95,90,9.17,42.25
Denpasar,89.6,70,20,8.05,-8.65
Nantucket,48.31,100,90,17.22,41.28
Angoche,80.01,82,81,3.94,-16.23
Shubarkuduk,31.3,96,100,23.47,49.14
Laas,23.18,92,40,1.12,46.62
Sorland,35.44,65,100,27.36,67.67
Nacala,73.22,95,100,2.3,-14.54
Xingcheng,33.91,29,1,5.97,40.62
Erenhot,22.75,72,0,7.49,43.65
Cajati,64.99,99,4,1.14,-24.74
Yakuplu,46.08,71,75,9.17,40.99
Coquimbo,62.6,88,20,2.91,-29.95
West Lafayette,31.77,91,90,12.75,40.43
Novopokrovka,33.8,86,75,8.95,49.84
Mitsamiouli,80.6,78,20,3.36,-11.38
Svetlaya,19.38,53,100,4.36,46.54
Talara,73.8,93,41,11.59,-4.58
Pardi,77.0,50,0,5.82,20.52
Southbridge,41.97,93,90,3.36,42.08
Dumas,35.1,55,1,8.05,35.87
Poum,79.88,81,100,20.11,-20.23
Morondava,81.21,82,94,5.59,-20.28
City of San Pedro,87.42,70,40,8.05,14.35
Saint-Pierre,78.3,78,75,6.93,-21.34
Cururupu,74.23,98,88,2.48,-1.83
Oktyabrskoye,14.0,85,0,6.71,43.06
Kyren,21.83,58,97,2.51,51.68
Binzhou,39.0,72,100,1.01,37.37
Ibra,70.59,63,65,10.02,22.69
Zhangye,32.11,22,0,1.54,38.93
Liwonde,74.35,86,43,0.54,-15.05
Yerbogachen,23.34,77,100,17.78,61.28
Ankpa,64.04,18,54,6.33,7.37
Presidencia Roque Saenz Pena,71.29,58,0,0.56,-26.79
Kiryat Gat,41.5,81,0,2.24,31.61
Manggar,82.42,76,95,8.88,-2.88
Villazon,50.94,62,32,5.5,-22.09
Sibolga,82.92,84,24,2.73,1.74
Mayumba,83.05,74,44,1.7,-3.43
Kolda,70.0,11,98,4.34,12.88
Lewistown,33.93,86,75,14.99,40.6
Anandnagar,64.78,58,0,5.17,27.1
Tanda,64.94,53,0,5.77,26.55
Yangambi,72.88,44,84,2.13,0.81
Dogondoutchi,63.27,12,0,11.43,13.64
Esmeraldas,67.1,100,90,3.36,-19.76
OEstersund,40.75,75,100,23.04,63.18
Touros,78.8,94,75,3.36,-5.2
Provincia di Mantova,41.85,100,75,1.12,45.17
Korsor,38.86,93,100,10.29,55.33
Muisne,76.6,89,99,6.91,0.6
Bereda,42.22,100,20,4.7,43.27
Taylor,50.81,87,1,6.93,32.3
Anloga,69.8,56,44,2.24,5.79
Dahuk,38.77,44,0,2.89,36.87
Rocha,59.58,77,0,4.54,-34.48
Canby,49.77,87,90,9.75,45.26
Okha,-10.64,84,0,18.32,53.57
Kanker,78.87,30,78,7.07,20.27
Gondanglegi,88.02,60,64,4.7,-7.75
Tiarei,84.11,74,40,9.17,-17.53
Quesnel,21.2,92,1,2.24,53.0
Qui Nhon,83.19,69,78,6.71,13.77
La Rioja,74.01,45,37,4.68,-29.41
Jos,48.2,49,21,11.41,9.92
Christchurch,67.87,77,33,12.75,-43.53
Laguna,54.77,87,90,6.93,38.42
Ecoporanga,69.17,96,99,4.56,-18.37
Vila,42.53,93,75,8.05,42.03
Pitkyaranta,28.89,82,78,8.34,61.57
Pringsewu,83.73,80,95,0.63,-5.36
Maragogi,81.5,83,43,13.87,-9.01
Antofagasta,71.06,88,20,3.36,-23.65
Grand Gaube,81.77,78,40,14.99,-20.01
Kaabong,73.72,54,91,10.07,3.48
Te Anau,63.28,75,85,7.18,-45.42
Opunake,70.99,81,56,1.99,-39.46
La Jagua del Pilar,80.6,65,40,11.41,10.51
Jinchang,26.24,44,5,5.06,38.5
Morden,19.62,100,90,8.05,49.19
Erzin,45.28,57,0,9.17,36.96
Humberto de Campos,77.76,92,90,3.87,-2.6
Lichuan,39.04,77,92,1.25,30.3
Ngunguru,75.87,74,33,5.01,-35.62
Colares,46.8,100,0,3.36,38.8
Lakes Entrance,75.74,71,32,7.0,-37.88
Hay River,14.0,92,75,8.05,60.82
Shizunai,19.98,62,20,7.52,42.33
Wloszczowa,27.45,84,100,1.99,50.85
San Cristobal,77.0,83,40,2.24,7.77
Nueva Armenia,67.91,88,5,2.24,15.8
Rafaela,73.81,48,0,6.67,-31.25
Yumen,26.78,47,0,1.92,40.28
Rusape,69.19,74,60,2.68,-18.53
Sangar,-32.42,89,0,5.7,63.92
Nova Olimpia,76.42,78,100,2.71,-14.8
Prachuap Khiri Khan,81.66,64,83,9.53,11.82
Hamilton,32.38,86,90,10.29,39.18
Nuevo Progreso,68.94,92,85,1.99,23.17
Kyshtovka,11.3,91,100,14.61,56.55
Goundam,66.74,13,99,5.91,16.41
North Battleford,32.0,93,90,5.82,52.78
Esim,72.86,94,26,0.45,4.87
Araouane,71.06,11,90,7.27,18.9
Grand-Lahou,81.23,83,34,6.49,5.14
Houma,52.97,87,90,5.82,29.6
Concordia,73.99,89,0,1.99,-31.39
Reo,68.22,10,32,10.2,12.32
Lere,52.84,24,4,6.96,10.39
Koumac,80.76,65,100,3.67,-20.57
Zyryanka,-26.09,96,100,3.56,65.75
Porto Nacional,77.0,94,75,6.93,-10.71
Fort Nelson,8.6,84,90,2.24,58.81
Kualakapuas,89.6,70,40,5.82,-3.01
Abu Dhabi,64.4,52,0,14.99,24.47
Alta Floresta,68.77,98,97,1.48,-9.88
Corinth,45.32,93,20,1.81,37.94
Les Cayes,77.27,67,0,7.78,18.2
Birjand,37.4,74,40,4.7,32.87
Smoky Lake,12.0,95,0,1.01,54.12
Kungurtug,20.53,69,88,1.36,50.6
Harlingen,67.19,93,100,8.05,26.19
Chervone,29.19,93,3,5.44,49.96
Manjeri,80.6,57,20,5.82,11.12
Kangaatsiaq,13.69,91,100,10.38,68.31
Faya,42.8,41,0,10.29,18.39
Daru,84.9,74,59,6.93,-9.08
Rochegda,-9.24,99,58,3.51,62.8
Jiayuguan,32.56,28,0,6.02,39.82
Burnie,67.48,51,88,8.99,-41.07
Tommot,-0.15,94,94,1.97,58.96
Lauda-Konigshofen,30.06,100,90,1.79,49.57
Lalibela,62.44,31,22,2.95,12.03
Skjervoy,21.2,62,38,3.36,70.03
Zhoucheng,42.89,35,100,1.19,35.91
Walvis Bay,60.21,93,0,5.82,-22.96
Wewak,83.23,80,12,14.99,-3.55
Belomorsk,8.73,92,37,6.29,64.52
San Andres,80.6,69,20,11.41,12.58
Martapura,89.6,70,40,5.82,-3.42
Narasannapeta,84.61,42,29,6.4,18.42
Tataouine,53.6,50,83,2.24,32.93
Rio Brilhante,68.18,82,0,3.38,-21.8
Port Augusta,88.09,60,0,16.11,-32.5
Evensk,15.19,87,100,21.52,61.95
Tharad,80.1,19,0,5.32,24.4
Goderich,33.35,92,100,1.99,43.75
Hualmay,73.0,74,100,3.49,-11.1
Mount Pleasant,45.07,70,1,5.82,32.79
Hervey Bay,87.93,43,40,11.41,-25.3
Tumbi,68.0,94,90,1.03,-5.07
Solnechnyy,-3.87,99,22,3.87,50.72
Simao,66.06,21,0,4.83,22.79
Neiafu,82.4,78,40,4.7,-18.65
Saint George's,77.0,88,20,3.36,12.06
Yakovlevo,32.0,94,75,8.95,50.86
Jambi,82.6,88,56,3.29,-1.6
Port-Gentil,80.6,94,75,2.24,-0.72
Apodi,80.01,74,100,9.37,-5.66
Gurupi,72.59,95,100,5.44,-11.73
San-Pedro,81.37,83,32,5.14,4.75
Khoy,16.92,62,0,2.1,38.55
Akdepe,28.71,74,90,13.87,42.06
Ovruch,28.99,96,22,4.63,51.32
Khokhryaki,23.0,94,98,1.01,56.92
Petropavlovsk-Kamchatsky,26.6,100,90,4.47,53.05
Sovetskiy,-0.81,96,95,3.31,61.36
Jalingo,61.99,16,33,7.23,8.88
Port Moresby,89.6,66,75,17.22,-9.44
Inongo,74.32,47,53,1.72,-1.95
Arinos,69.33,97,77,3.09,-15.92
Ada,40.71,75,75,10.29,43.42
Madarounfa,58.55,16,3,12.33,13.31
Boddam,42.94,81,75,6.93,57.47
Borogontsy,-32.84,94,0,4.59,62.67
Pangnirtung,-37.46,99,100,2.84,66.15
Keuruu,27.73,100,90,5.82,62.27
Lodja,74.86,66,100,0.29,-3.48
Amambai,67.71,80,0,1.83,-23.1
